"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"HIF1A_HUMAN-->EP300_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"RBX1_HUMAN-->CUL2_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"VHL_HUMAN-->HIF1A_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"SUMO1_HUMAN-->HIPK2_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"D0VY79_HUMAN-->EGLN1_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"EP300_HUMAN-->D0VY79_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"CDN1A_HUMAN-->CDK4_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"MDM2_HUMAN-->CDN1A_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"K7PPA8_HUMAN-->ZN363_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"EP300_HUMAN-->NCOA3_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
"NCOA3_HUMAN-->G4XH65_HUMAN",-129.623919501746,-6.76713414224332,-9.41082550249346,-27.61930431979,-14.9483271599455,17.8971177490236,-9.09620899702278,8.062297527691,5.05498644288344,-13.1665980969899
